axis,level,eval_kind,predictor,mean_pair_pehe_mean,mean_pair_pehe_std,ate_bias_abs_mean,ate_bias_abs_std,counterfactual_rmst_mae_mean,counterfactual_rmst_mae_std,regret_mean,regret_std,hit_rate_mean,hit_rate_std,c_index_mean,c_index_std,brier_mean,brier_std,n_reps
gamma,0.0,bestCI,dynasurv,1.2721865575106486,0.15134137774006615,0.34282419662136193,0.14901746082671982,1.414530815335551,0.020858512769511457,0.41120083832009185,0.028879429682426957,0.5651124625929144,0.04740685090896153,0.6653610644638491,0.008274817144756358,0.16105589277758348,0.005743692256796661,3
gamma,0.0,bestCI,naive_km,1.2189251044441731,0.02971007355032017,0.18418077424862433,0.042635008443813904,1.843511832885908,0.04487246236191238,0.6971296487104125,0.14089517904001514,0.3036007336615503,0.1788239254237509,0.522500169496066,0.0031011686197571736,0.17428731536678813,0.0012381625628390494,3
gamma,0.0,bestCI,oracle,3.6098061765629327e-06,4.495450488477014e-08,1.0811549002049193e-06,2.217854223035006e-08,1.06431796430376e-05,1.1109826483369964e-07,0.0,0.0,1.0,0.0,0.720167643940418,0.006598453776050959,0.13483007752631285,0.0021408813344590783,3
gamma,0.25,bestCI,dynasurv,1.444536425937372,0.28078501387228855,0.6985685147083247,0.4015547760261243,1.4333928960289501,0.07725176834007838,0.4518852756224718,0.019593460514843362,0.5639540496186891,0.019947616904523426,0.6671424849531062,0.008197398607533121,0.16085198787014157,0.0025854299077362084,3
gamma,0.25,bestCI,naive_km,1.2702278620519092,0.03259508253684105,0.31998217714666877,0.084844107614531,1.8892823945461672,0.04605041690226452,0.5212886395243727,0.027959880509173984,0.5363452070663192,0.025794205101830846,0.5384935694750668,0.014410230460086493,0.17349665442395254,0.0009988179460173492,3
gamma,0.25,bestCI,oracle,3.656370292093604e-06,1.1934163172318214e-07,1.0902934693301238e-06,1.4356088897538195e-08,1.0802530862036568e-05,9.530064615425261e-08,0.0,0.0,1.0,0.0,0.7214660754962159,0.006241202230532219,0.13396086112576402,0.0002694643236068081,3
gamma,0.5,bestCI,dynasurv,1.6063470195203209,0.19314117420870514,0.8497624224344918,0.2318299758599827,1.4864862188731944,0.07805297769492309,0.38867224848346105,0.04380630489753675,0.5900183415387587,0.04194484185254752,0.6691528405455913,0.010351357529073612,0.1597126014666083,0.009501693891709394,3
gamma,0.5,bestCI,naive_km,1.3805220899786432,0.03975480750803172,0.5507378341463119,0.04325074162042864,1.9592024041359624,0.028357565688498416,0.5110080690650941,0.0028371791490484385,0.5516941789748045,0.0010032150637525818,0.548874365604907,0.013630353178597494,0.17227900978127184,0.00092176040557389,3
gamma,0.5,bestCI,oracle,3.712282252298531e-06,4.371175051185148e-08,1.109091171875547e-06,2.2917477950886945e-08,1.0957155049334678e-05,9.037727540652705e-08,0.0,0.0,1.0,0.0,0.7219677011495209,0.0060597650257288565,0.13358878727847437,0.000269028527336338,3
gamma,1.0,bestCI,dynasurv,1.7612953936248086,0.42345196334926544,0.8734867133914962,0.3280798598598046,1.5217182358474342,0.07232810679095136,0.3355951369013717,0.04049339176698107,0.6421469253788975,0.03569333052831622,0.6801515098529934,0.007533386382802345,0.15705925584945765,0.0046655003075542585,3
gamma,1.0,bestCI,naive_km,1.7049556705026367,0.064534610030153,1.0281812548775717,0.08800886312279775,2.124725419144204,0.05405183567618137,0.5156057732992122,0.011153165840307452,0.5561347620426682,0.006035524290893202,0.5708071750074952,0.01909993186704015,0.17133769228615017,0.0012372831661593528,3
gamma,1.0,bestCI,oracle,3.7734422706022743e-06,1.0404743928375077e-07,1.1234914654841687e-06,1.4589118470372633e-08,1.1191799787092389e-05,1.10448859188735e-07,0.0,0.0,1.0,0.0,0.7231878319634917,0.006311463783759982,0.1332351495521926,0.0013878335843407292,3
gamma,1.5,bestCI,dynasurv,2.324617302603015,1.0996064923687325,1.4859907382219806,1.0338680583662756,1.875871616085007,0.43048928177294865,0.3979457717621461,0.05309090017290537,0.6183994594072787,0.020210765572909507,0.6767884047095952,0.009290369187252952,0.171804541775584,0.008611063662990085,3
gamma,1.5,bestCI,naive_km,1.9756787487772314,0.11607115723497975,1.3508405886179389,0.13239771308229828,2.272360824629907,0.016996266792659056,0.5189068301686948,0.011696281940003524,0.5587411912346751,0.006855302935642847,0.5850106027683849,0.01711405959542884,0.16934544632856885,0.000698919220399625,3
gamma,1.5,bestCI,oracle,3.7971207777782623e-06,7.594965861633018e-08,1.1337567506204231e-06,1.760759831523118e-08,1.129291698257061e-05,1.1476694021085493e-07,0.0,0.0,1.0,0.0,0.7223914791713065,0.004407420640802036,0.13354938943326033,0.0004823395012544631,3
heterogeneity,0.0,bestCI,dynasurv,2.0819120644000275,0.7535438814887783,1.2777906189361345,0.33638488620549567,1.6657859155197015,0.3251232277214569,0.032818837307387765,0.024691209061429884,0.9544357563471378,0.02939199474459882,0.6675540652603024,0.01482011947106222,0.16389262015904485,0.011536643629554153,3
