split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,line,arm,kind,n,rmse_S,rmst_mae,rmst_bias
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,1,ET alone,factual,337,0.110448771994687,1.45290622385194,0.8833607858814172
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,1,ET+ANTI-CDK wo CT,factual,1254,0.1044815318885205,1.5004847826396397,1.2504837971617904
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,1,MONOCT std alone,factual,207,0.0972453251101008,1.5367634659044411,1.2546228889936617
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,1,POLYCT alone,factual,179,0.1090299799929654,1.5044852644483322,0.9092556646732576
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,1,ET alone,counterfactual,1640,0.1091148854422701,1.5774475994422088,0.9150133512915912
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,1,ET+ANTI-CDK wo CT,counterfactual,723,0.1054596566817936,1.426152247683462,1.181522773979919
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,1,MONOCT std alone,counterfactual,1770,0.0963349779270075,1.4549042957233342,1.1644840864640371
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,1,POLYCT alone,counterfactual,1798,0.107022212468981,1.5050286318550614,1.0570756562014183
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,2,ET alone,factual,131,0.1442390379388294,1.649248545426167,0.6842774003825646
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,2,ET+ANTI-CDK wo CT,factual,328,0.1288853522888007,1.4658610186023715,0.5979821134922157
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,2,MONOCT std alone,factual,278,0.1003122886772105,1.1894907803527908,0.4615658449964733
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,2,POLYCT alone,factual,103,0.148723075730571,1.6962481551392252,0.4169554968553862
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,2,ET alone,counterfactual,709,0.1302017169375312,1.492894476874914,0.3054689529389829
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,2,ET+ANTI-CDK wo CT,counterfactual,512,0.1379183699841059,1.587815117503811,0.7906772156347046
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,2,MONOCT std alone,counterfactual,562,0.1102298012701311,1.285577330039696,0.4903898266131735
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,2,POLYCT alone,counterfactual,737,0.1207234301729062,1.4208464541697754,0.2746413794276568
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,3,ET alone,factual,19,0.150188605927428,1.3263115570929236,0.4782314198792148
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,3,ET+ANTI-CDK wo CT,factual,42,0.1080234058220236,0.8813902097147986,0.0084702167658754
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,3,MONOCT std alone,factual,275,0.1006222185797713,0.7898988276564369,0.1187118900942678
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,3,POLYCT alone,factual,102,0.1131227650733726,0.8475427917858144,0.1619940075337897
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,3,ET alone,counterfactual,419,0.1168363136750244,0.9277596713697592,-0.305362927332708
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,3,ET+ANTI-CDK wo CT,counterfactual,396,0.1221761539200709,0.8903499017103732,0.1413866413972124
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,3,MONOCT std alone,counterfactual,163,0.0973945279234567,0.7657780911811003,0.1776248201475346
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,3,POLYCT alone,counterfactual,336,0.1222501514339927,0.9321499649575278,0.141775266666133
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,4,MONOCT std alone,factual,120,0.1225688084851183,0.9878315695089076,-0.2523549859032009
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,4,POLYCT alone,factual,71,0.124944664215957,1.0839450171198486,-0.1494895085391406
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,4,MONOCT std alone,counterfactual,78,0.1019099314199776,0.8921034400597108,-0.1157902632723062
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,4,POLYCT alone,counterfactual,127,0.1392354570923928,1.1659996557064831,-0.1489512718923033
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,all,ET alone,factual,487,0.1221391930269217,1.500782087214984,0.8140027130797919
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,all,ET+ANTI-CDK wo CT,factual,1624,0.1099367384654404,1.477480739125436,1.0865767019522776
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,all,MONOCT std alone,factual,880,0.1030336419767934,1.1188073185532774,0.443619789088917
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,all,POLYCT alone,factual,455,0.1224273056376412,1.3350019413038547,0.4650831072852427
