split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,line,arm_a,arm_b,n,pehe,ate_true,ate_bias,sign_agree
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,1,ET alone,ET+ANTI-CDK wo CT,1977,0.8145456978201406,-0.4960400903338258,-0.3156464850789244,0.966110268082954
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,1,ET alone,MONOCT std alone,1977,0.914514740206458,-0.0619052999364192,-0.2643041557921116,0.8037430450177036
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,1,ET alone,POLYCT alone,1977,1.4169965097283828,-0.0642551360720191,-0.1340739997035469,0.7106727364693981
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,1,ET+ANTI-CDK wo CT,MONOCT std alone,1977,0.7726113924170673,0.4341347903974065,0.0513423590891352,0.8259989883662114
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,1,ET+ANTI-CDK wo CT,POLYCT alone,1977,1.2975101460562208,0.4317849542618066,0.1815724704742163,0.7723823975720789
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,1,MONOCT std alone,POLYCT alone,1977,1.3381889138184755,-0.0023498361355998,0.1302301411874034,0.6479514415781487
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,2,ET alone,ET+ANTI-CDK wo CT,840,0.9847296247369128,-0.313791536390043,-0.3508893021948568,0.6190476190476191
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,2,ET alone,MONOCT std alone,840,0.9485324167412372,0.0283128301289796,-0.1163054312256097,0.7011904761904761
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,2,ET alone,POLYCT alone,840,1.4236519025289516,-0.1718646581126685,0.0724532301379675,0.6880952380952381
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,2,ET+ANTI-CDK wo CT,MONOCT std alone,840,1.0613745103927728,0.3421043665190227,0.2345839231233112,0.7
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,2,ET+ANTI-CDK wo CT,POLYCT alone,840,1.5722958766174138,0.1419268782773745,0.4233425919374692,0.6
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,2,MONOCT std alone,POLYCT alone,840,1.4015791682296752,-0.2001774882416481,0.1887586595009321,0.6297619047619047
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,3,ET alone,ET+ANTI-CDK wo CT,438,0.7112538481164967,-0.2573641061065591,-0.4000126004936301,0.728310502283105
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,3,ET alone,MONOCT std alone,438,0.7724135891147879,0.0079524963729796,-0.4120074659221587,0.6666666666666666
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,3,ET alone,POLYCT alone,438,0.94432777832076,-0.0848357278356936,-0.4178551238526914,0.6757990867579908
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,3,ET+ANTI-CDK wo CT,MONOCT std alone,438,0.6463427132796811,0.2653166024795387,-0.0119948952308509,0.6917808219178082
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,3,ET+ANTI-CDK wo CT,POLYCT alone,438,0.9050567401304668,0.1725283782708654,-0.0178425084579,0.6438356164383562
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,3,MONOCT std alone,POLYCT alone,438,0.8748337502270312,-0.0927882242086732,-0.0058476281282102,0.6095890410958904
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,4,MONOCT std alone,POLYCT alone,198,0.8550877174203274,-0.1923094042953779,-0.0494124940219591,0.6414141414141414
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,all,ET alone,ET+ANTI-CDK wo CT,3255,0.849293049485188,-0.416891437060609,-0.3360939211776111,0.8445468509984639
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,all,ET alone,MONOCT std alone,3255,0.905779187994576,-0.0292229822594755,-0.2459862062018281,0.7588325652841782
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,all,ET alone,POLYCT alone,3255,1.3647599956999308,-0.0947947052599254,-0.1189628692983326,0.7001536098310291
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,all,ET+ANTI-CDK wo CT,MONOCT std alone,3255,0.8423103130580528,0.3876684548011336,0.0901076851734605,0.7754224270353303
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,all,ET+ANTI-CDK wo CT,POLYCT alone,3255,1.330684528070488,0.3220967318006836,0.2171310518792785,0.7105990783410139
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,all,MONOCT std alone,POLYCT alone,3453,1.281472281153702,-0.072839044430046,0.1169062596044826,0.6382855487981466
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,1,ET alone,ET+ANTI-CDK wo CT,1977,1.1020889215233702e-06,-0.4960400903338258,-5.636046483403767e-07,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,1,ET alone,MONOCT std alone,1977,1.9643741961297898e-06,-0.0619052999364192,9.720004003135885e-07,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,1,ET alone,POLYCT alone,1977,2.4462037389745552e-06,-0.0642551360720191,1.9010179787282144e-07,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,1,ET+ANTI-CDK wo CT,MONOCT std alone,1977,2.0739860469611837e-06,0.4341347903974065,1.5356050486192707e-06,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,1,ET+ANTI-CDK wo CT,POLYCT alone,1977,2.5640041624425887e-06,0.4317849542618066,7.537064461993204e-07,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,1,MONOCT std alone,POLYCT alone,1977,2.4390484589897496e-06,-0.0023498361355998,-7.818986024672216e-07,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,2,ET alone,ET+ANTI-CDK wo CT,840,3.2101767047642803e-06,-0.313791536390043,-4.14677957083498e-07,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,2,ET alone,MONOCT std alone,840,4.010321586800079e-06,0.0283128301289796,2.1145832744332016e-06,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,2,ET alone,POLYCT alone,840,4.275265203848937e-06,-0.1718646581126685,7.302759657268343e-07,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,2,ET+ANTI-CDK wo CT,MONOCT std alone,840,4.457457350688398e-06,0.3421043665190227,2.5292612314542495e-06,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,2,ET+ANTI-CDK wo CT,POLYCT alone,840,5.057898680456403e-06,0.1419268782773745,1.1449539228103325e-06,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,2,MONOCT std alone,POLYCT alone,840,4.958143794920736e-06,-0.2001774882416481,-1.384307308727184e-06,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,3,ET alone,ET+ANTI-CDK wo CT,438,4.391725761092541e-06,-0.2573641061065591,-6.104133743467521e-07,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,3,ET alone,MONOCT std alone,438,5.1816124703632765e-06,0.0079524963729796,2.3174776028842686e-06,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,3,ET alone,POLYCT alone,438,6.843530276238073e-06,-0.0848357278356936,3.5392086586427673e-07,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,3,ET+ANTI-CDK wo CT,MONOCT std alone,438,6.04491912494275e-06,0.2653166024795387,2.9278909772778583e-06,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,3,ET+ANTI-CDK wo CT,POLYCT alone,438,7.096072880320785e-06,0.1725283782708654,9.6433424026654e-07,1.0
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,3,MONOCT std alone,POLYCT alone,438,8.17713250417748e-06,-0.0927882242086732,-1.963556737025196e-06,1.0
